@relation 'self-weka.filters.unsupervised.attribute.Remove-R1-5,7-10,12-17,19-23,25'

@attribute a3 numeric
@attribute b1 numeric
@attribute b8 numeric
@attribute b14 numeric
@attribute c1 numeric
@attribute c2 numeric
@attribute c3 numeric
@attribute c4 numeric
@attribute c5 numeric
@attribute c6 numeric
@attribute c7 numeric
@attribute c8 numeric
@attribute c9 numeric
@attribute Level {0, 1, 2, 3, 4}

@data
1,3,1,1,1,1,0,0,1,1,1,1,0,1
1,5,5,2,2,2,2,3,2,3,3,3,3,4
1,4,5,2,1,2,1,2,2,2,2,2,1,3
0,3,2,1,1,1,0,0,0,0,0,0,0,0
0.5,3,2,1,0,1,0,0,0,0,1,1,0,0
1,5,5,3,1,2,1,2,1,1,2,2,0,2
1,2,4,1,1,3,1,1,2,1,2,3,0,2
0,3,5,4,2,3,2,3,3,2,2,3,0,4
0.5,5,5,3,3,3,2,3,3,2,2,3,3,4
0.5,1,1,2,0,0,0,0,0,0,0,0,0,0
0.5,4,5,4,0,3,3,2,2,3,3,3,2,4
0.5,4,3,3,2,2,2,3,3,2,3,2,1,4
0.5,4,4,2,2,2,1,3,2,1,1,1,1,2
0.5,3,4,4,1,2,1,2,2,2,2,1,1,2
0,5,5,5,3,3,3,3,3,3,3,3,3,4
0.5,4,1,1,1,1,1,2,1,1,1,1,0,1
1,2,4,2,0,2,2,2,3,3,2,3,0,3
1,5,5,2,1,3,0,3,1,1,2,1,2,2
1,4,4,4,2,3,3,3,2,3,2,3,2,4
0.5,4,5,3,2,3,3,3,2,2,2,2,3,4
0,3,3,2,0,1,0,1,1,0,1,0,0,0
0.5,3,4,3,1,3,1,0,3,2,2,2,1,3
0.5,5,5,4,2,3,1,1,2,2,2,2,2,3
1,3,5,5,3,3,3,3,3,3,3,3,3,4
0,2,1,1,1,2,1,1,2,2,1,1,0,2
0,5,5,5,2,3,2,3,2,2,2,3,2,4
1,3,2,2,1,1,0,2,1,2,3,1,1,2
1,5,3,1,0,1,1,1,1,2,2,2,1,2
0.5,3,3,2,1,1,1,3,1,1,1,0,0,1
0,5,5,3,1,1,0,3,1,0,0,0,0,1
0.5,4,4,4,1,1,1,2,2,1,2,1,3,2
0,3,2,1,1,1,1,2,1,0,1,1,0,1
1,5,3,2,2,2,1,3,2,2,2,3,1,3
0.5,2,3,1,2,1,2,0,0,2,2,0,0,1
0,5,4,1,1,1,0,1,1,1,2,1,1,1
1,5,2,3,1,1,3,0,3,2,3,2,0,3
0,3,2,2,1,1,1,1,2,1,1,1,0,1
0.5,3,3,2,2,1,0,2,2,2,2,2,1,2
1,5,4,4,3,3,3,3,3,2,3,1,1,4
0.5,4,5,2,1,1,0,2,1,2,3,1,3,2
0.5,4,4,1,2,3,3,3,3,3,1,2,2,4
0.5,1,3,1,1,1,0,0,0,0,0,0,0,0
0.5,3,2,2,0,1,2,2,2,2,3,1,1,2
0.5,5,3,2,2,2,0,3,1,2,3,1,0,2
0.5,5,5,1,2,3,0,3,3,3,2,3,3,4
0.5,3,3,3,2,2,2,2,2,2,2,2,2,3
0.5,4,2,1,2,1,1,3,1,0,0,1,1,2
0,3,3,2,2,2,2,2,3,2,2,2,0,3
1,5,5,5,1,2,1,2,1,3,3,1,2,3
0.5,5,5,4,1,0,1,0,2,1,2,1,2,2
0,5,1,3,3,1,1,1,2,1,1,1,3,2
